location_id,name,area,location_type,x_coord,y_coord,operatingHours,sourceUrl,coordinateNote
1,Main University Gate,Main Entrance,GATE,0,0,24/7,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
2,Legon Police Station,Main Entrance,SECURITY,-100,20,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
3,University of Ghana Hospital,South Campus,HEALTH,80,160,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
4,University of Ghana Fire Station,South Campus,EMERGENCY,150,80,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
5,Bush Canteen,South Campus,COMMERCIAL,220,110,06:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
6,University Square,Central Campus,LANDMARK,500,700,24/7,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
7,Balme Library,Central Campus,LIBRARY,520,760,08:00-22:00,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
8,Great Hall,Legon Hill,ASSEMBLY,520,1100,07:00-22:00,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
9,Central Administration,Legon Hill,ADMIN,500,1020,08:00-17:00,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
10,Commonwealth Hall,Legon Hill,RESIDENCE,550,1280,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
11,Legon Hall,Central Residential,RESIDENCE,300,820,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
12,Akuafo Hall,Central Residential,RESIDENCE,700,850,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
13,Volta Hall,Central Residential,RESIDENCE,760,900,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
14,Mensah Sarbah Hall,Central Residential,RESIDENCE,310,600,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
15,Jubilee Hall,South Residential,RESIDENCE,830,280,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
16,International Students' Hostel,South Residential,RESIDENCE,850,320,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
17,VALCO Trust Hostel,Central Residential,RESIDENCE,650,930,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
18,Hilla Limann Hall,South Residential,RESIDENCE,920,220,24/7,https://www.ug.edu.gh/aad/accomodation,Synthetic schematic local coordinate; not survey/GPS data
19,Alexander Adum Kwapong Hall,South Residential,RESIDENCE,960,230,24/7,https://www.ug.edu.gh/aad/accomodation,Synthetic schematic local coordinate; not survey/GPS data
20,Jean Nelson Aka Hall,South Residential,RESIDENCE,1000,240,24/7,https://www.ug.edu.gh/aad/accomodation,Synthetic schematic local coordinate; not survey/GPS data
21,Elizabeth Frances Sey Hall,South Residential,RESIDENCE,1040,250,24/7,https://www.ug.edu.gh/aad/accomodation,Synthetic schematic local coordinate; not survey/GPS data
22,African Union Hall,South Residential,RESIDENCE,1080,270,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
23,James Topp Nelson Yankah Hall,South Residential,RESIDENCE,1120,290,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
24,United Nations Hall,South Residential,RESIDENCE,1160,300,24/7,https://www.ug.edu.gh/campus/main,Synthetic schematic local coordinate; not survey/GPS data
25,Banking Square,South Campus,COMMERCIAL,650,250,07:00-20:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
26,Night Market,South Campus,COMMERCIAL,700,290,16:00-01:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
27,Legon Mosque,South Campus,RELIGIOUS,720,330,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
28,University of Ghana Guest Centre,Central Campus,GUEST_SERVICES,400,560,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
29,Athletic Oval,Sports Zone,RECREATION,650,520,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
30,University of Ghana Sports Stadium,Sports Zone,RECREATION,850,520,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
31,Legon Poolside,Sports Zone,RECREATION,800,570,06:00-20:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
32,University of Ghana Botanical Gardens,North Campus,RECREATION,700,1150,06:00-18:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
33,University Basic School,South Campus,EDUCATION,420,240,06:30-17:30,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
34,Noguchi Memorial Institute for Medical Research,Health Sciences Zone,RESEARCH,900,300,08:00-17:00,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
35,School of Public Health,Health Sciences Zone,ACADEMIC,960,330,08:00-20:00,https://old1.ug.edu.gh/about/overview,Synthetic schematic local coordinate; not survey/GPS data
36,School of Nursing and Midwifery,Health Sciences Zone,ACADEMIC,980,380,08:00-20:00,https://old1.ug.edu.gh/academics/colleges,Synthetic schematic local coordinate; not survey/GPS data
37,School of Pharmacy,Health Sciences Zone,ACADEMIC,930,420,08:00-20:00,https://old1.ug.edu.gh/academics/colleges,Synthetic schematic local coordinate; not survey/GPS data
38,School of Engineering Sciences,Academic Zone,ACADEMIC,620,780,07:00-21:00,https://old1.ug.edu.gh/academics/colleges,Synthetic schematic local coordinate; not survey/GPS data
39,School of Biological Sciences,Academic Zone,ACADEMIC,650,750,07:00-21:00,https://old1.ug.edu.gh/academics/colleges,Synthetic schematic local coordinate; not survey/GPS data
40,School of Agriculture,Academic Zone,ACADEMIC,680,720,07:00-21:00,https://old1.ug.edu.gh/academics/colleges,Synthetic schematic local coordinate; not survey/GPS data
41,Department of Sociology,Academic Zone,ACADEMIC,420,650,07:00-21:00,https://www.ug.edu.gh/careers/contact-us,Synthetic schematic local coordinate; not survey/GPS data
42,Careers and Counselling Centre,Academic Zone,STUDENT_SUPPORT,410,680,08:00-17:00,https://www.ug.edu.gh/careers/contact-us,Synthetic schematic local coordinate; not survey/GPS data
43,University of Ghana Bookshop,Central Campus,COMMERCIAL,480,720,08:00-18:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/,Synthetic schematic local coordinate; not survey/GPS data
