road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight,routeLabel,routingWeight,roadType,trafficLevel,isBlocked,dataNote
1,1,2,0.11,1.18,1.16,Main University Gate - Legon Police Station,1.369,MAIN_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
2,1,3,0.213,1.68,1.16,Main University Gate - University of Ghana Hospital,1.949,MAIN_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
3,1,4,0.199,1.68,1.16,Main University Gate - University of Ghana Fire Station,1.949,MAIN_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
4,3,4,0.119,0.63,1.08,University of Ghana Hospital - University of Ghana Fire Station,0.68,MAIN_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
5,3,5,0.164,1.65,1.08,University of Ghana Hospital - Bush Canteen,1.782,CAMPUS_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
6,4,5,0.087,1.02,1.24,University of Ghana Fire Station - Bush Canteen,1.265,MAIN_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
7,5,33,0.272,1.88,1.0,Bush Canteen - University Basic School,1.88,CAMPUS_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
8,6,7,0.08,0.7,1.16,University Square - Balme Library,0.812,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
9,6,41,0.108,0.84,1.16,University Square - Department of Sociology,0.974,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
10,6,42,0.104,0.89,1.16,University Square - Careers and Counselling Centre,1.032,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
11,6,43,0.08,1.29,1.16,University Square - University of Ghana Bookshop,1.496,CAMPUS_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
12,6,44,0.139,0.75,1.16,University Square - University of Ghana Information Technology Directorate,0.87,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
13,6,50,0.139,0.81,1.16,University Square - University of Ghana School of Law,0.94,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
14,7,38,0.114,0.8,1.32,Balme Library - School of Engineering Sciences,1.056,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
15,7,39,0.143,0.94,1.32,Balme Library - School of Biological Sciences,1.241,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
16,7,43,0.08,1.23,1.32,Balme Library - University of Ghana Bookshop,1.624,CAMPUS_ROAD,HIGH,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
17,7,49,0.123,1.0,1.32,Balme Library - International Programmes Office,1.32,CAMPUS_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
18,8,9,0.09,0.33,1.08,Great Hall - Central Administration,0.356,CAMPUS_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
19,8,10,0.219,0.65,1.08,Great Hall - Commonwealth Hall,0.702,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
20,8,32,0.215,0.7,1.08,Great Hall - University of Ghana Botanical Gardens,0.756,ACCESS_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
21,9,46,0.126,0.58,1.24,Central Administration - Graduate School,0.719,CAMPUS_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
22,10,32,0.218,0.83,1.0,Commonwealth Hall - University of Ghana Botanical Gardens,0.83,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
23,11,50,0.132,0.71,1.16,Legon Hall - University of Ghana School of Law,0.824,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
24,12,13,0.091,0.33,1.32,Akuafo Hall - Volta Hall,0.436,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
25,12,17,0.103,0.42,1.32,Akuafo Hall - VALCO Trust Hostel,0.554,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
26,12,38,0.126,0.52,1.32,Akuafo Hall - School of Engineering Sciences,0.686,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
27,12,39,0.131,0.59,1.32,Akuafo Hall - School of Biological Sciences,0.779,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
28,12,40,0.151,0.69,1.32,Akuafo Hall - School of Agriculture,0.911,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
29,12,49,0.121,1.0,1.32,Akuafo Hall - International Programmes Office,1.32,RESIDENTIAL_ROAD,MODERATE,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
30,13,17,0.129,0.41,1.08,Volta Hall - VALCO Trust Hostel,0.443,RESIDENTIAL_ROAD,LOW,False,Synthetic descriptive route/link and weights for coursework; not an official road name or navigation-grade route
